ticker,ETF,Exchange
RLI,SP400
CIVI,SP400
PB,SP400
MUR,SP400
ESNT,SP400
MASI,SP400
OPCH,SP400
ALTM,SP400
G,SP400
ESAB,SP400
DTM,SP400
WTS,SP400
FLS,SP400
SON,SP400
SNV,SP400
ADC,SP400
MTG,SP400
TKR,SP400
AZPN,SP400
NXST,SP400
CPRI,SP400
POST,SP400
PLNT,SP400
AMG,SP400
HALO,SP400
FYBR,SP400
HR,SP400
ST,SP400
KEX,SP400
EXLS,SP400
UGI,SP400
MMS,SP400
CADE,SP400
PBF,SP400
KBH,SP400
R,SP400
SRCL,SP400
KD,SP400
TKO,SP400
ZI,SP400
OLLI,SP400
CRUS,SP400
PII,SP400
WU,SP400
AA,SP400
DLB,SP400
EEFT,SP400
ONB,SP400
MTSI,SP400
M,SP400
ASH,SP400
FNB,SP400
LPX,SP400
COTY,SP400
SLM,SP400
ASGN,SP400
KRG,SP400
RYN,SP400
THG,SP400
CBT,SP400
UBSI,SP400
MSM,SP400
OZK,SP400
ETRN,SP400
BYD,SP400
HOG,SP400
AM,SP400
MTZ,SP400
GATX,SP400
LNTH,SP400
AIRC,SP400
NFG,SP400
WLK,SP400
IDA,SP400
VMI,SP400
HOMB,SP400
MDU,SP400
NEU,SP400
SLAB,SP400
FLO,SP400
RH,SP400
FCFS,SP400
VNO,SP400
AVT,SP400
LANC,SP400
KNF,SP400
CVLT,SP400
GBCI,SP400
JHG,SP400
EXPO,SP400
SWX,SP400
GPS,SP400
NJR,SP400
POR,SP400
POWI,SP400
KRC,SP400
LOPE,SP400
FFIN,SP400
VAL,SP400
AZTA,SP400
COKE,SP400
ARWR,SP400
AN,SP400
SYNA,SP400
TEX,SP400
GME,SP400
COLB,SP400
HWC,SP400
BCO,SP400
ENS,SP400
AVNT,SP400
HAE,SP400
TDC,SP400
NSP,SP400
PCH,SP400
UMBF,SP400
SLGN,SP400
IRDM,SP400
YETI,SP400
NVST,SP400
PRGO,SP400
BKH,SP400
MAN,SP400
BDC,SP400
ORA,SP400
PK,SP400
VLY,SP400
CUZ,SP400
NYCB,SP400
KMPR,SP400
CNXC,SP400
NEOG,SP400
GT,SP400
DOCS,SP400
CNX,SP400
IRT,SP400
OGS,SP400
WOLF,SP400
ALE,SP400
LITE,SP400
TNL,SP400
SBRA,SP400
HGV,SP400
AMKR,SP400
ADNT,SP400
VC,SP400
ZD,SP400
PNM,SP400
SR,SP400
EPR,SP400
ASB,SP400
VAC,SP400
PGNY,SP400
FHI,SP400
AMED,SP400
WEN,SP400
CNO,SP400
BHF,SP400
PAG,SP400
BLKB,SP400
CRI,SP400
LIVN,SP400
ENOV,SP400
HELE,SP400
NWE,SP400
CC,SP400
SAM,SP400
COLM,SP400
CXT,SP400
TCBI,SP400
PENN,SP400
IBOC,SP400
CHH,SP400
RCM,SP400
NSA,SP400
VSH,SP400
TGNA,SP400
CDP,SP400
LEG,SP400
SMG,SP400
RUN,SP400
GO,SP400
WERN,SP400
IPGP,SP400
MPW,SP400
IART,SP400
GHC,SP400
NARI,SP400
ALGM,SP400
QDEL,SP400
MP,SP400
FOXF,SP400
CABO,SP400
CALX,SP400
JWN,SP400
CAR,SP400
UAA,SP400
UA,SP400
GEF,SP400
SHC,SP400
PPC,SP400
HTZ,SP400
NVDA,SOXX
AMD,SOXX
AVGO,SOXX
QCOM,SOXX
INTC,SOXX
AMAT,SOXX
LRCX,SOXX
MRVL,SOXX
KLAC,SOXX
ASML,SOXX
NXPI,SOXX
CDNS,SOXX
SNPS,SOXX
MU,SOXX
TSM,SOXX
TXN,SOXX
ADI,SOXX
ON,SOXX
MPWR,SOXX
MCHP,SOXX
ENTG,SOXX
SWKS,SOXX
TER,SOXX
STM,SOXX
QRVO,SOXX
LSCC,SOXX
MKSI,SOXX
RMBS,SOXX
ASX,SOXX
UMC,SOXX
ACLS,SOXX
WOLF,SOXX
OKTA,WCLD
AI,WCLD
SQ,WCLD
ZM,WCLD
CRM,WCLD
WIX,WCLD
DOCU,WCLD
AVDX,WCLD
PCOR,WCLD
QTWO,WCLD
HUBS,WCLD
CXM,WCLD
ASAN,WCLD
RNG,WCLD
TOST,WCLD
CFLT,WCLD
PYPL,WCLD
BILL,WCLD
APPF,WCLD
PD,WCLD
IOT,WCLD
BOX,WCLD
MNDY,WCLD
VEEV,WCLD
NOW,WCLD
OLO,WCLD
AVPT,WCLD
GTLB,WCLD
QLYS,WCLD
DDOG,WCLD
NET,WCLD
TWLO,WCLD
SPT,WCLD
NCNO,WCLD
SQSP,WCLD
TEAM,WCLD
FRSH,WCLD
BL,WCLD
ADBE,WCLD
PCTY,WCLD
ZI,WCLD
